MeterType,MeterNo,the_geom,POINT_X,POINT_Y,Status
Strada,1193021,POINT (-73.95524589028493 40.77981543209252),996644.599215,223387.799009,Active
Strada,1193022,POINT (-73.95487669705678 40.78031784932344),996746.752554,223570.899037,Active
Strada,1193023,POINT (-73.95938461710799 40.77443764168788),995499.292122,221427.930553,Active
Strada,1453169,POINT (-73.99280533410383 40.738211641727695),986243.799478,208227.093438,Active
Strada,1453171,POINT (-73.99333628035846 40.73843693741584),986096.6564,208309.16414,Active
Strada,1193006,POINT (-73.95642752607357 40.778486529382235),996317.587401,222903.469925,Active
Strada,1193007,POINT (-73.95686919919376 40.77787906989038),996195.373079,222682.091431,Active
Strada,1193008,POINT (-73.95748791302448 40.77703417468304),996024.165416,222374.18391,Active
Strada,1193009,POINT (-73.95772213850316 40.77670811506012),995959.351569,222255.358032,Active
Strada,1193010,POINT (-73.95829387415299 40.775931826343424),995801.137319,221972.454071,Active
Strada,1193011,POINT (-73.95870988585949 40.775820408389635),995685.935778,221931.806186,Active
Strada,1193012,POINT (-73.95872685960306 40.77533667253919),995681.317677,221755.562772,Active
Strada,1193013,POINT (-73.9586536455205 40.775146307932545),995701.628332,221686.216126,Active
Strada,1193017,POINT (-73.95714302407869 40.77720959628264),996119.654726,222438.142444,Active
Strada,1193016,POINT (-73.9580585752266 40.77596422387009),995866.301231,221984.288693,Active
